T155,0.023653898,0.06079509,0.020822918,0.031208182,-0.0026550486,0.013339416
T200,0.017162565,0.02586636,0.0032181146,0.0074154823,0.001279953,0.0026783042
T444,0.056722675,0.022700192,0.021846052,0.0019449666,0.013279025,0.05728779
T218,0.004563359,0.04660199,0.015641768,0.056681905,0.0294739,0.033646118
T392,-0.00017760444,0.004455887,0.0024712319,0.0011838771,0.0008555763,0.0015082253
T48,0.04741611,0.009809378,0.006957121,0.03988034,0.04617795,0.00096687657
T528,0.042382818,0.05394077,0.046895858,0.0071311523,0.024820294,0.0067321723
T98,0.04807606,0.046490584,0.011347813,0.010311375,0.012068802,0.012398595
T306,0.0041108574,0.0011397002,0.001674393,0.0025629727,0.00053614215,0.00066144275
T530,0.055455692,0.04446979,0.0014709499,0.04673754,0.018246107,0.018480217
T53,0.011567396,0.020321433,0.019545386,0.008473954,0.011523298,0.0062090517
T609,0.0011060343,0.04732391,0.04194592,0.031159965,0.04900204,0.024136864
T203,0.04297295,0.041851386,0.0025657653,0.010300151,0.018451806,0.025034644
T501,0.028402895,0.02240559,-0.0011117083,-0.002053925,0.0070918114,0.0026866295
T342,0.07558342,0.022873493,-0.0002584089,-0.0010006016,-0.00032373614,-0.020985419
T659,0.011733794,0.056947183,0.0067145796,0.011022256,0.027585482,0.008205735
T237,0.060247414,0.037411638,0.046970047,0.020029897,0.014490599,0.037998144
T450,0.024432203,0.03414267,0.039192453,0.0138788475,0.03576862,0.019894639
T395,0.04234364,0.024303393,0.034351826,0.032444756,0.010783408,0.04532176
T520,0.014531715,0.048635494,0.04551631,-0.00014948894,0.010526595,0.017092068
T172,0.02104337,0.062515184,0.0006271656,0.0004868737,0.03540916,0.035452936
T141,0.011129069,0.062329523,0.028914953,0.035370193,0.014900007,0.026004279
T601,0.057970602,0.01705061,0.03097231,0.03243281,0.015483979,0.00862899
T83,0.03728721,0.024759825,0.043113735,0.010447067,0.009965797,0.008205385
T552,0.03212689,0.053048313,0.00016706328,-0.00021952575,0.033897996,0.014319225
T697,0.037189472,0.0034238189,0.025967905,0.024846721,0.0021958363,0.0012699688
T118,0.029933903,0.04428586,0.0018684547,0.016513437,0.007860975,0.03588526
T204,0.00022507526,0.047038592,0.02032692,0.049708284,0.03179555,0.045513213
T393,0.01915065,0.038060416,0.017669054,0.038576867,0.041819807,0.014643539
T59,0.003779115,0.05336308,0.016035965,0.035733987,-0.00011986067,0.047892656
T297,0.01543114,0.021237226,3.0071442e-05,0.024297798,0.0038643442,0.01397162
T513,0.038140077,0.0044285576,0.007508804,0.020372774,0.011727489,0.01522584
T398,0.011074926,0.0460983,0.032270446,0.034310903,0.032815885,0.033513036
